% Model:              new_trap_efield_far.mph
% Version:            COMSOL 5.0.0.243
% Date:               Dec 2 2019, 13:40
% Dimension:          3
% Nodes:              1001
% Expressions:        1
% Description:        Electric field, y component
% Length unit:        m
% x                       y                        z                        es.Ey (V/m)
-8.673617379884035E-19    -0.01116883116883123     -1.0408340855860843E-16  -0.1787585126220974
-8.673617379884035E-19    -0.011142857142857206    -1.0408340855860843E-16  -0.17999404379816442
-8.673617379884035E-19    -0.011116883116883178    -1.0408340855860843E-16  -0.18163244952023888
-8.673617379884035E-19    -0.011090909090909153    -1.0408340855860843E-16  -0.18298106497063582
-8.673617379884035E-19    -0.011064935064935126    -1.0408340855860843E-16  -0.18468888894110458
-8.673617379884035E-19    -0.011038961038961102    -1.0408340855860843E-16  -0.18639671291157373
-8.673617379884035E-19    -0.011012987012987075    -1.0408340855860843E-16  -0.18810453688204307
-8.673617379884035E-19    -0.010987012987013049    -1.0408340855860843E-16  -0.18981236085251177
-8.673617379884035E-19    -0.010961038961039024    -1.0408340855860843E-16  -0.19152018482298092
-8.673617379884035E-19    -0.010935064935064995    -1.0408340855860843E-16  -0.19322800879345026
-8.673617379884035E-19    -0.01090909090909097     -1.0408340855860843E-16  -0.19544556448584233
-8.673617379884035E-19    -0.010883116883116944    -1.0408340855860843E-16  -0.19728993574665943
-8.673617379884035E-19    -0.010857142857142918    -1.0408340855860843E-16  -0.19913430700747692
-8.673617379884035E-19    -0.010831168831168891    -1.0408340855860843E-16  -0.20113545113944872
-8.673617379884035E-19    -0.010805194805194866    -1.0408340855860843E-16  -0.2029958304646725
-8.673617379884035E-19    -0.010779220779220841    -1.0408340855860843E-16  -0.20485620978989605
-8.673617379884035E-19    -0.010753246753246813    -1.0408340855860843E-16  -0.2065092948721331
-8.673617379884035E-19    -0.010727272727272788    -1.0408340855860843E-16  -0.20881237060556546
-8.673617379884035E-19    -0.010701298701298762    -1.0408340855860843E-16  -0.21111544633899787
-8.673617379884035E-19    -0.010675324675324735    -1.0408340855860843E-16  -0.21341852207243028
-8.673617379884035E-19    -0.010649350649350709    -1.0408340855860843E-16  -0.21550381499303572
-8.673617379884035E-19    -0.010623376623376682    -1.0408340855860843E-16  -0.21787378892051668
-8.673617379884035E-19    -0.010597402597402656    -1.0408340855860843E-16  -0.22024376284799713
-8.673617379884035E-19    -0.010571428571428631    -1.0408340855860843E-16  -0.2226137367754789
-8.673617379884035E-19    -0.010545454545454606    -1.0408340855860843E-16  -0.22498371070295942
-8.673617379884035E-19    -0.010519480519480578    -1.0408340855860843E-16  -0.22735368463044042
-8.673617379884035E-19    -0.010493506493506551    -1.0408340855860843E-16  -0.22972365855792162
-8.673617379884035E-19    -0.010467532467532526    -1.0408340855860843E-16  -0.2320936324854017
-8.673617379884035E-19    -0.010441558441558498    -1.0408340855860843E-16  -0.23446360641288305
-8.673617379884035E-19    -0.010415584415584473    -1.0408340855860843E-16  -0.23683358034036406
-8.673617379884035E-19    -0.010389610389610447    -1.0408340855860843E-16  -0.2392035542678449
-8.673617379884035E-19    -0.010363636363636422    -1.0408340855860843E-16  -0.2427851036147034
-8.673617379884035E-19    -0.010337662337662396    -1.0408340855860843E-16  -0.2453699561493976
-8.673617379884035E-19    -0.010311688311688369    -1.0408340855860843E-16  -0.2476766047073342
-8.673617379884035E-19    -0.010285714285714344    -1.0408340855860843E-16  -0.25077385582106926
-8.673617379884035E-19    -0.010259740259740316    -1.0408340855860843E-16  -0.2538711069348035
-8.673617379884035E-19    -0.010233766233766291    -1.0408340855860843E-16  -0.2571137615908098
-8.673617379884035E-19    -0.010207792207792265    -1.0408340855860843E-16  -0.2601243698363691
-8.673617379884035E-19    -0.010181818181818238    -1.0408340855860843E-16  -0.2631349780819287
-8.673617379884035E-19    -0.010155844155844211    -1.0408340855860843E-16  -0.2658274856150593
-8.673617379884035E-19    -0.010129870129870185    -1.0408340855860843E-16  -0.26918380072364445
-8.673617379884035E-19    -0.01010389610389616     -1.0408340855860843E-16  -0.27254011583222953
-8.673617379884035E-19    -0.010077922077922134    -1.0408340855860843E-16  -0.2758964309408147
-8.673617379884035E-19    -0.010051948051948109    -1.0408340855860843E-16  -0.27925274604939904
-8.673617379884035E-19    -0.010025974025974082    -1.0408340855860843E-16  -0.282609061157984
-8.673617379884035E-19    -0.010000000000000056    -1.0408340855860843E-16  -0.28596537626656915
-8.673617379884035E-19    -0.00997402597402603     -1.0408340855860843E-16  -0.28932169137515484
-8.673617379884035E-19    -0.009948051948052003    -1.0408340855860843E-16  -0.29267800648373976
-8.673617379884035E-19    -0.009922077922077976    -1.0408340855860843E-16  -0.29659644477328073
-8.673617379884035E-19    -0.00989610389610395     -1.0408340855860843E-16  -0.3000300120106535
-8.673617379884035E-19    -0.009870129870129925    -1.0408340855860843E-16  -0.30513836995221943
-8.673617379884035E-19    -0.009844155844155898    -1.0408340855860843E-16  -0.3090546638267211
-8.673617379884035E-19    -0.009818181818181873    -1.0408340855860843E-16  -0.31266524346523195
-8.673617379884035E-19    -0.009792207792207847    -1.0408340855860843E-16  -0.31652294595441777
-8.673617379884035E-19    -0.00976623376623382     -1.0408340855860843E-16  -0.3203806484436011
-8.673617379884035E-19    -0.009740259740259794    -1.0408340855860843E-16  -0.3231323770484296
-8.673617379884035E-19    -0.009714285714285767    -1.0408340855860843E-16  -0.32791614617134973
-8.673617379884035E-19    -0.009688311688311742    -1.0408340855860843E-16  -0.3326999152942709
-8.673617379884035E-19    -0.009662337662337714    -1.0408340855860843E-16  -0.3374836844171918
-8.673617379884035E-19    -0.00963636363636369     -1.0408340855860843E-16  -0.34226745354011223
-8.673617379884035E-19    -0.009610389610389665    -1.0408340855860843E-16  -0.3473704108577329
-8.673617379884035E-19    -0.009584415584415638    -1.0408340855860843E-16  -0.3519964391914261
-8.673617379884035E-19    -0.009558441558441612    -1.0408340855860843E-16  -0.35662246752512083
-8.673617379884035E-19    -0.009532467532467585    -1.0408340855860843E-16  -0.3612484958588138
-8.673617379884035E-19    -0.00950649350649356     -1.0408340855860843E-16  -0.3658745241925079
-8.673617379884035E-19    -0.009480519480519532    -1.0408340855860843E-16  -0.37050055252620195
-8.673617379884035E-19    -0.009454545454545505    -1.0408340855860843E-16  -0.3772060554842822
-8.673617379884035E-19    -0.00942857142857148     -1.0408340855860843E-16  -0.3810013998467323
-8.673617379884035E-19    -0.009402597402597454    -1.0408340855860843E-16  -0.3868194807789306
-8.673617379884035E-19    -0.00937662337662343     -1.0408340855860843E-16  -0.3926375617111256
-8.673617379884035E-19    -0.009350649350649403    -1.0408340855860843E-16  -0.39788654600733153
-8.673617379884035E-19    -0.009324675324675376    -1.0408340855860843E-16  -0.4034098420431571
-8.673617379884035E-19    -0.00929870129870135     -1.0408340855860843E-16  -0.40893313807898257
-8.673617379884035E-19    -0.009272727272727323    -1.0408340855860843E-16  -0.41445643411481026
-8.673617379884035E-19    -0.009246753246753297    -1.0408340855860843E-16  -0.4199797301506363
-8.673617379884035E-19    -0.00922077922077927     -1.0408340855860843E-16  -0.42550302618646274
-8.673617379884035E-19    -0.009194805194805245    -1.0408340855860843E-16  -0.43163887584868066
-8.673617379884035E-19    -0.009168831168831219    -1.0408340855860843E-16  -0.4385339973695319
-8.673617379884035E-19    -0.009142857142857194    -1.0408340855860843E-16  -0.4454291188903823
-8.673617379884035E-19    -0.009116883116883167    -1.0408340855860843E-16  -0.4523242404112341
-8.673617379884035E-19    -0.00909090909090914     -1.0408340855860843E-16  -0.4592193619320847
-8.673617379884035E-19    -0.009064935064935114    -1.0408340855860843E-16  -0.46513632998717636
-8.673617379884035E-19    -0.009038961038961088    -1.0408340855860843E-16  -0.4724202084190515
-8.673617379884035E-19    -0.009012987012987063    -1.0408340855860843E-16  -0.47970408685092786
-8.673617379884035E-19    -0.008987012987013036    -1.0408340855860843E-16  -0.486987965282804
-8.673617379884035E-19    -0.00896103896103901     -1.0408340855860843E-16  -0.4942718437146809
-8.673617379884035E-19    -0.008935064935064983    -1.0408340855860843E-16  -0.5015557221465564
-8.673617379884035E-19    -0.008909090909090957    -1.0408340855860843E-16  -0.5088396005784352
-8.673617379884035E-19    -0.008883116883116932    -1.0408340855860843E-16  -0.5161234790103081
-8.673617379884035E-19    -0.008857142857142905    -1.0408340855860843E-16  -0.5232531870636279
-8.673617379884035E-19    -0.00883116883116888     -1.0408340855860843E-16  -0.5303399257875754
-8.673617379884035E-19    -0.008805194805194852    -1.0408340855860843E-16  -0.5418814217442431
-8.673617379884035E-19    -0.008779220779220826    -1.0408340855860843E-16  -0.5489943746740478
-8.673617379884035E-19    -0.008753246753246801    -1.0408340855860843E-16  -0.5576171080977298
-8.673617379884035E-19    -0.008727272727272774    -1.0408340855860843E-16  -0.5662398415214135
-8.673617379884035E-19    -0.008701298701298748    -1.0408340855860843E-16  -0.5748625749450956
-8.673617379884035E-19    -0.008675324675324721    -1.0408340855860843E-16  -0.5834853083687799
-8.673617379884035E-19    -0.008649350649350697    -1.0408340855860843E-16  -0.5921080417924625
-8.673617379884035E-19    -0.00862337662337667     -1.0408340855860843E-16  -0.6028985040362329
-8.673617379884035E-19    -0.008597402597402643    -1.0408340855860843E-16  -0.6125432365556474
-8.673617379884035E-19    -0.008571428571428617    -1.0408340855860843E-16  -0.6221879690750598
-8.673617379884035E-19    -0.00854545454545459     -1.0408340855860843E-16  -0.6318327015944732
-8.673617379884035E-19    -0.008519480519480566    -1.0408340855860843E-16  -0.6414774341138867
-8.673617379884035E-19    -0.008493506493506539    -1.0408340855860843E-16  -0.6511221666332987
-8.673617379884035E-19    -0.008467532467532513    -1.0408340855860843E-16  -0.662442227776173
-8.673617379884035E-19    -0.008441558441558486    -1.0408340855860843E-16  -0.6706004173938065
-8.673617379884035E-19    -0.008415584415584461    -1.0408340855860843E-16  -0.6827251038965718
-8.673617379884035E-19    -0.008389610389610436    -1.0408340855860843E-16  -0.6948497903993436
-8.673617379884035E-19    -0.008363636363636408    -1.0408340855860843E-16  -0.7069744769021143
-8.673617379884035E-19    -0.008337662337662383    -1.0408340855860843E-16  -0.7190991634048829
-8.673617379884035E-19    -0.008311688311688357    -1.0408340855860843E-16  -0.7312238499076531
